scientific_name_from	size_class_from	scientific_name_to	size_class_to	peg_year_from	peg_year_to	note
Acanthoceras zachariasii	1	Acanthoceras zachariasii	2		2022	
Achnanthes	1	Achnanthes	5		2022	
Achnanthes	2	Achnanthes	6		2022	
Achnanthes	3	Achnanthes	7		2022	
Achnanthes	4	Achnanthes	8		2022	
Achnanthes taeniata	1	Pauliella taeniata	13		2022	from 1-13
Achnanthes taeniata	2	Pauliella taeniata	14		2022	from 2-14
Achnanthes taeniata	3	Pauliella taeniata	16		2022	from 3-16
Achnanthes taeniata	4	Pauliella taeniata	17		2022	from 4-17
Achnanthes taeniata	5	Pauliella taeniata	18		2022	from 5-18
Achnanthes taeniata	6	Pauliella taeniata	19		2022	from 6-19
Achnanthes taeniata	7	Pauliella taeniata	21		2022	from 7-21
Achnanthes taeniata	8	Pauliella taeniata	22		2022	from 8-22
Achnanthes taeniata	9	Pauliella taeniata	23		2022	from 9-23
Achnanthes taeniata	10	Pauliella taeniata	24		2022	from 10-24
Achnanthes taeniata	11	Pauliella taeniata	25		2022	from 11-25
Actinoptychus octonarius	1	Actinocyclus octonarius	1		2022	
Actinoptychus octonarius	2	Actinocyclus octonarius	2		2022	
Actinoptychus octonarius	3	Actinocyclus octonarius	3		2022	
Actinoptychus octonarius	4	Actinocyclus octonarius	4		2022	
Actinoptychus octonarius	5	Actinocyclus octonarius	5		2022	
Actinoptychus octonarius	6	Actinocyclus octonarius	6		2022	
Actinoptychus octonarius	7	Actinocyclus octonarius	7		2022	
Actinoptychus octonarius	8	Actinocyclus octonarius	8		2022	
Actinoptychus octonarius	9	Actinocyclus octonarius	9		2022	
Actinoptychus octonarius	10	Actinocyclus octonarius	10		2022	
Actinoptychus octonarius	11	Actinocyclus octonarius	11		2022	
Actinoptychus octonarius	12	Actinocyclus octonarius	12		2022	
Acutodesmus acuminatus	1	Tetradesmus lagerheimii	1		2022	
Acutodesmus acuminatus	2	Tetradesmus lagerheimii	2		2022	
Acutodesmus acuminatus	3	Tetradesmus lagerheimii	3		2022	
Acutodesmus acuminatus	4	Tetradesmus lagerheimii	4		2022	
Acutodesmus acuminatus	5	Tetradesmus lagerheimii	5		2022	
Acutodesmus obliquus	1	Tetradesmus obliquus	1		2022	
Acutodesmus obliquus	2	Tetradesmus obliquus	2		2022	
Acutodesmus obliquus	3	Tetradesmus obliquus	3		2022	
Acutodesmus obliquus	4	Tetradesmus obliquus	4		2022	
Acutodesmus obliquus	5	Tetradesmus obliquus	5		2022	
Acutodesmus obliquus	6	Tetradesmus obliquus	6		2022	
Amphidinium pellucidum	1	Gymnodinium venator	1		2022	
Amphora coffeaeformis	1	Halamphora coffeaeformis	1		2022	
Amylax buxus	1	Amylax triacantha var. buxus	1		2022	
Anabaena	7	Anabaena	10		2022	
Anabaena	8	Anabaena	11		2022	
Anabaena	9	Anabaena	12		2022	
Anabaena circinalis	1	Dolichospermum sigmoideum	1		2022	
Anabaena crassa	1	Dolichospermum crassum	1		2022	
Anabaena flos-aquae	1	Dolichospermum flosaquae	1		2022	
Anabaena flos-aquae	2	Dolichospermum flosaquae	2		2022	
Anabaena lemmermannii	1	Dolichospermum lemmermannii	1		2022	
Anabaena macrospora	1	Dolichospermum macrosporum	1		2022	
Anabaena planctonica	1	Dolichospermum planctonicum	1		2022	
Anabaena planctonica	2	Dolichospermum planctonicum	2		2022	
Anabaena spiroides	1	Dolichospermum spiroides	1		2022	
